2018-03-04 10:46:40,295 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3beb586c] to [STARTING_PREP]
2018-03-04 10:46:40,295 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3beb586c] to [STARTING]
2018-03-04 10:46:40,295 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3beb586c] to [STARTED]
2018-03-04 10:46:40,295 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.StandardRoot@65fcca19] to [STARTING]
2018-03-04 10:46:40,295 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.StandardRoot@65fcca19] to [STARTED]
2018-03-04 10:46:40,341 |ocalhost-startStop-1 |ContainerBase                 |F| Processing standard container startup
2018-03-04 10:46:40,341 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [WebappLoader[/test]] to [INITIALIZING]
2018-03-04 10:46:40,342 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [WebappLoader[/test]] to [INITIALIZED]
2018-03-04 10:46:40,342 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [WebappLoader[/test]] to [STARTING_PREP]
2018-03-04 10:46:40,342 |ocalhost-startStop-1 |LifecycleBase                 |F| Starting this Loader
2018-03-04 10:49:26,083 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [WebappLoader[/test]] to [STARTING]
2018-03-04 10:49:26,083 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [WebappLoader[/test]] to [STARTED]
2018-03-04 10:49:26,084 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [Realm[JDBCRealm]] to [INITIALIZING]
2018-03-04 10:49:26,084 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [Realm[JDBCRealm]] to [INITIALIZED]
2018-03-04 10:49:26,084 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [Realm[JDBCRealm]] to [STARTING_PREP]
2018-03-04 10:49:26,306 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [Realm[JDBCRealm]] to [STARTING]
2018-03-04 10:49:26,306 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [Realm[JDBCRealm]] to [STARTED]
2018-03-04 10:49:26,307 |ocalhost-startStop-1 |ContextConfig                 |F| ContextConfig: Processing START
2018-03-04 10:49:26,307 |ocalhost-startStop-1 |ContextConfig                 |F| Context [/test] will parse web.xml and web-fragment.xml files with validation:false and namespaceAware:false
2018-03-04 10:49:26,318 |ocalhost-startStop-1 |WebXmlParser                  |F| Parsing application web.xml file at file:/project/tomcat-pro/output/build/conf/web.xml
2018-03-04 10:49:26,387 |ocalhost-startStop-1 |WebXmlParser                  |F| Parsing application web.xml file at file:/project/tomcat-pro/web/WEB-INF/web.xml
2018-03-04 10:49:26,394 |ocalhost-startStop-1 |StandardJarScanner            |F| Scanning /WEB-INF/lib for JARs
2018-03-04 10:49:26,397 |ocalhost-startStop-1 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/jackson-databind-2.6.4.jar] from /WEB-INF/lib
2018-03-04 10:49:26,398 |ocalhost-startStop-1 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/spring-aspects-4.3.12.RELEASE.jar] from /WEB-INF/lib
2018-03-04 10:49:26,398 |ocalhost-startStop-1 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/fastjson-1.2.7.jar] from /WEB-INF/lib
